signal_day,eval_day,ticker,ratio,verdict,candle_pos,gap_%,entry,outcome,gross_%,net_%,bucket,intraday_signal
2026-05-27,2026-05-28,AIM,74.2,중립,잔구간,-12.3,0.337,open,1.22,-1.28,09:00,매수관심
2026-05-27,2026-05-28,AEMD,65.7,강한매수,전고점돌파,-13.7,2.65,open,-2.64,-5.14,05:30,정보부족
2026-05-27,2026-05-28,AEMD,65.7,강한매수,전고점돌파,-13.7,2.63,open,-1.9,-4.4,06:00,중립
2026-05-27,2026-05-28,AEMD,65.7,강한매수,전고점돌파,-13.7,2.595,open,-0.58,-3.08,06:30,중립
2026-05-27,2026-05-28,AEMD,65.7,강한매수,전고점돌파,-13.7,2.58,open,0.0,-2.5,07:00,중립
2026-05-27,2026-05-28,AEMD,65.7,강한매수,전고점돌파,-13.7,2.62,open,-1.53,-4.03,07:30,중립
2026-05-27,2026-05-28,AEMD,65.7,강한매수,전고점돌파,-13.7,2.63,open,-1.9,-4.4,08:00,중립
2026-05-27,2026-05-28,AEMD,65.7,강한매수,전고점돌파,-13.7,2.6052,open,-0.97,-3.47,08:30,매도주의
2026-05-27,2026-05-28,AEMD,65.7,강한매수,전고점돌파,-13.7,2.64,open,-2.27,-4.77,09:00,매도주의
2026-05-27,2026-05-28,FUTG,51.6,중립,잔구간,-8.8,4.23,open,14.66,12.16,05:30,정보부족
2026-05-27,2026-05-28,FUTG,51.6,중립,잔구간,-8.8,4.27,open,13.58,11.08,06:00,중립
2026-05-27,2026-05-28,FUTG,51.6,중립,잔구간,-8.8,4.49,open,8.02,5.52,06:30,강한매수
2026-05-27,2026-05-28,FUTG,51.6,중립,잔구간,-8.8,4.49,open,8.02,5.52,07:00,중립
2026-05-27,2026-05-28,FUTG,51.6,중립,잔구간,-8.8,4.5,open,7.78,5.28,07:30,중립
2026-05-27,2026-05-28,FUTG,51.6,중립,잔구간,-8.8,4.5795,open,5.91,3.41,08:00,중립
