ticker,date,o,h,l,c,v,prev_close,base_vol,gap_%,oc_%,prior_dollar_M
LASE,2026-06-11,2.72,2.85,2.38,2.41,49219140.770295,2.15,40932338.397671,26.51162790697676,-11.397058823529413,88.00452755499265
LFVN,2026-06-02,11.71,11.71,7.5,8.62,2557571.457351,9.43,763195.437281,24.178154825026525,-26.3877028181042,7.1969329735598295
LFVN,2026-06-08,10.99,11.08,9.5563,10.7,1449391.859635,9.97,969795.745212,10.230692076228681,-2.6387625113739843,9.66886357976364
MASK,2026-05-29,4.9,5.48,3.53,3.58,20634566.262388,4.13,603528.573877,18.64406779661018,-26.93877551020409,2.49257301011201
MASK,2026-06-01,5.41,7.06,4.73,5.45,27263943.042217,3.58,10619047.418132499,51.117318435754186,0.739371534195934,38.01618975691435
MASK,2026-06-05,4.75,4.805,3.65,3.825,13436437.53906,3.61,1510329.381145,31.578947368421055,-19.47368421052631,5.45228906593345
MASK,2026-06-12,2.68,3.29,2.2201,2.37,24605246.701884,2.27,694055.272716,18.06167400881058,-11.567164179104479,1.57550546906532
MOBX,2026-06-04,3.02,3.0599,2.155,2.21,45862748.868439,2.23,891518.127851,35.42600896860987,-26.821192052980138,1.98808542510773
MRLN,2026-06-05,9.19,10.2499,8.31,8.6,28534562.545881,7.18,2371868.856005,27.99442896935933,-6.420021762785636,17.0300183861159
MSOX,2026-06-05,3.92,4.25,3.75,4.03,5615333.353834,3.52,2369895.071766,11.36363636363636,2.8061224489796,8.34203065261632
MST,2026-06-15,17.35,17.87,16.71,16.73,67688.301303,15.2,144983.633158,14.144736842105276,-3.573487031700294,2.2037512240016
MSTU,2026-06-15,4.06,4.22,3.9,3.92,52703518.841209,3.52,45518884.433743,15.34090909090908,-3.4482758620689578,160.22647320677538
MSTX,2026-06-15,18.64,19.3999,17.9201,18.03,4216935.6729,16.18,4627581.806573,15.203955500618052,-3.2725321888411987,74.87427363035114
MSTZ,2026-06-01,6.855,7.17,6.4537,6.76,22185885.785488,6.04,20149758.0125935,13.493377483443714,-1.3858497447118983,121.70453839606475
MTEN,2026-06-15,2.72,5.65,2.7001,3.39,36041226.15464,2.47,16089829.989132,10.121457489878543,24.632352941176467,39.74188007315605
MX,2026-05-29,8.01,9.67,7.76,8.8,16219073.247009,6.79,5688616.762933,17.967599410898377,9.86267166042448,38.62570782031507
NBIZ,2026-06-05,10.04,12.14,9.78,11.35,3508725.562725,9.12,2690583.735152,10.087719298245613,13.047808764940244,24.538123664586237
NCT,2026-06-03,3.63,4.3901,3.07,3.55,5924277.760257,2.99,416391.88164349995,21.40468227424748,-2.203856749311297,1.245011726114065
NEXR,2026-06-04,1.25,2.11,1.1,1.56,76995234.790709,1.02,1026595.120533,22.549019607843135,24.800000000000004,1.04712702294366
NEXR,2026-06-08,1.83,2.05,0.8,0.93,51297291.893241,1.21,11953147.513556,51.23966942148761,-49.18032786885246,14.46330849140276
NNAVW,2026-06-03,11.2,11.6,9.03,10.02,218441.0,8.48,185269.5,32.0754716981132,-10.535714285714285,1.57108536
NOWL,2026-05-29,6.665,7.32,6.45,7.3,43881119.978691,5.67,27028519.353818,17.548500881834215,9.527381845461361,153.25170473614807
NOWL,2026-06-01,8.61,9.02,8.14,8.63,43870359.195405,7.3,29049104.2393485,17.94520547945205,0.23228803716610164,212.05846094724404
NRIX,2026-06-08,16.725,18.2,15.36,15.64,21065092.568464,14.64,1157209.847051,14.241803278688531,-6.487294469357255,16.941552160826642
NTCL,2026-06-03,1.8,1.9,1.4005,1.76,1159123.754585,1.6,7868967.0474375,12.499999999999996,-2.222222222222224,12.590347275900001
NTCL,2026-06-04,2.4,2.5,1.64,2.11,4307466.735792,1.76,5115432.197404,36.36363636363636,-12.083333333333336,9.00316066743104
NXXT,2026-06-08,0.6599,0.6748,0.58775,0.5901,6053770.116399,0.5847,5298765.611733,12.861296391311791,-10.577360206091845,3.098188253180285
OCC,2026-06-08,19.61,22.0,17.01,19.0,18998513.413379,12.3,457765.626738,59.430894308943074,-3.110657827638957,5.630517208877401
ONDL,2026-06-15,13.01,13.25,11.9601,12.15,1563498.798296,11.82,1562658.591575,10.067681895093058,-6.610299769408143,18.4706245524165
OPTU,2026-06-01,1.19,1.32,1.03,1.16,125085561.296842,0.6582,4000985.29249,80.79611060467941,-2.521008403361347,2.633448519516918
ORBS,2026-06-15,0.977,1.06,0.9685,1.05,32452912.046253,0.8783,17003811.449876,11.237618125925083,7.471852610030713,14.93444759642609
OTLK,2026-06-12,1.3,1.31,1.12,1.22,38103435.329085,1.1,11075542.020423,18.181818181818176,-6.153846153846159,12.1830962224653
PD,2026-05-29,9.33,10.015,8.69,9.95,8869287.703381,7.44,1178743.589415,25.40322580645161,6.645230439442649,8.769852305247602
